Nombre,direccion_completa,Departamento,Localidad,Longitud,Latitud,Ambito
PANDO Nº. 2,"CALLE 4 Y VENEZUELA, ",CANELONES,PANDO,-55.96604031,-34.71440548,Urbano
PANDO Nº. 2,"CALLE 4 Y VENEZUELA, ",CANELONES,PANDO,-55.96604031,-34.71440548,Urbano
PANDO Nº. 2,"CALLE 4 Y VENEZUELA, ",CANELONES,PANDO,-55.96604031,-34.71440548,Urbano
ATLANTIDA Nº 2,"PASTORI ENTRE GARCIA LORCA Y MAHATMA GANDHI, ",CANELONES,ATLANTIDA,-55.76392646,-34.75941132,Urbano
ATLANTIDA Nº 2,"PASTORI ENTRE GARCIA LORCA Y MAHATMA GANDHI, ",CANELONES,ATLANTIDA,-55.76392646,-34.75941132,Urbano
ATLANTIDA Nº 2,"PASTORI ENTRE GARCIA LORCA Y MAHATMA GANDHI, ",CANELONES,ATLANTIDA,-55.76392646,-34.75941132,Urbano
ATLANTIDA Nº 2,"PASTORI ENTRE GARCIA LORCA Y MAHATMA GANDHI, ",CANELONES,ATLANTIDA,-55.76392646,-34.75941132,Urbano
ATLANTIDA Nº 2,"PASTORI ENTRE GARCIA LORCA Y MAHATMA GANDHI, ",CANELONES,ATLANTIDA,-55.76392646,-34.75941132,Urbano
ATLANTIDA Nº 2,"PASTORI ENTRE GARCIA LORCA Y MAHATMA GANDHI, ",CANELONES,ATLANTIDA,-55.76392646,-34.75941132,Urbano
ATLANTIDA Nº 2,"PASTORI ENTRE GARCIA LORCA Y MAHATMA GANDHI, ",CANELONES,ATLANTIDA,-55.76392646,-34.75941132,Urbano
ATLANTIDA Nº 2,"PASTORI ENTRE GARCIA LORCA Y MAHATMA GANDHI, ",CANELONES,ATLANTIDA,-55.76392646,-34.75941132,Urbano
ATLANTIDA Nº 2,"PASTORI ENTRE GARCIA LORCA Y MAHATMA GANDHI, ",CANELONES,ATLANTIDA,-55.76392646,-34.75941132,Urbano
LAS PIEDRAS Nº 4,"LAVALLEJA ENTRE LIBERTAD Y YAMANDU RODRIGUEZ, ",CANELONES,LAS PIEDRAS,-56.21762173,-34.72167338,Urbano
LAS PIEDRAS Nº 4,"LAVALLEJA ENTRE LIBERTAD Y YAMANDU RODRIGUEZ, ",CANELONES,LAS PIEDRAS,-56.21762173,-34.72167338,Urbano
