CÓDIGO,Departamento,Jurisdicción,Cat.,Nro.,NOMBRE,T,CALLE,Nº,CALLE2,Nº2,CALLE3,Nº3,BARRIO / LOCALIDAD,TELEFONO,COMENTARIO,CH,CA,JA,EA,CTR,JTR,ETR,Unnamed: 23,Ed. Especial,0,Unnamed: 26,0.1,Unnamed: 28,Ed. Especial.1,0.2,Unnamed: 31,0.3,direccion_completa,Latitud,Longitud,Intento
SALTO - ESPECIAL_002,SALTO,NINGUNA,ESPECIAL,2,CEN. EDUCATIVO PARA NIÑOS AUTISTAS,-,Av. BRASIL,497,,,,,SALTO,473-20152,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,Av. BRASIL 497,-57.969299963008865,-31.38577768895837,1
SALTO - ESPECIAL_003,SALTO,NINGUNA,ESPECIAL,3,EVOLUCION,-,RIVERA,958,,,,,SALTO,473-30671/72,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,RIVERA 958,-57.96365733736365,-31.390078645554247,1
SALTO - ESPECIAL_004,SALTO,NINGUNA,ESPECIAL,4,INSTITUTO CRECER,-,ARTIGAS,755,,,,,SALTO,4732 1780,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,ARTIGAS 755,-57.96639720232461,-31.388538704906075,1
SAN JOSÉ - HABILITADO_001,SAN JOSÉ,NINGUNA,HABILITADO,1,LA INMACULADA,D,LEON JUDE,,,,,,VILLA RODRIGUEZ,4348- 2015,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,LEON JUDE,-56.537715803667986,-34.38225152327544,1
SAN JOSÉ - HABILITADO_002,SAN JOSÉ,NINGUNA,HABILITADO,2,SAN JOSE,D,DR. LUIS MORQUIO,946,,,,,LIBERTAD,4345-2169,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,DR. LUIS MORQUIO 946,-56.6911663999872,-34.569047616679505,1
SAN JOSÉ - HABILITADO_003,SAN JOSÉ,NINGUNA,HABILITADO,3,Ntra. Sra. DEL HUERTO,T,18 DE JULIO,663,,,,,SAN JOSE DE MAYO,4342 3485,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,18 DE JULIO 663,-56.71060399381954,-34.33831473943966,1
SAN JOSÉ - HABILITADO_004,SAN JOSÉ,NINGUNA,HABILITADO,4,SAGRADA FAMILIA,T,ASAMBLEA,702,,,,,SAN JOSE DE MAYO,4342- 3446,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,ASAMBLEA 702,-56.70909888763917,-34.33932393697085,1
SAN JOSÉ - HABILITADO_007,SAN JOSÉ,NINGUNA,HABILITADO,7,KINDER OUR SCHOOL,D,LARRAÑAGA,426,,,,,SAN JOSE DE MAYO,4342 85 34,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,LARRAÑAGA 426,-55.99193158318628,-34.84169126462662,1
SAN JOSÉ - HABILITADO_008,SAN JOSÉ,NINGUNA,HABILITADO,8,ESCUELA DEL PLATA,D,"RUTA 1 KM 31,500",,,,,,SAN JOSE ,099 35 46 90 / 098 76 19 61,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,"RUTA 1 KM 31,500",-56.43849297997623,-34.745608917174295,1
SAN JOSÉ - AUTORIZADO_001,SAN JOSÉ,NINGUNA,AUTORIZADO,1,ALEMAN DELTA,M, ECILDA PAULLIER,,,,,,COLONIA DELTA,098 77 65 52,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,, ECILDA PAULLIER,-57.06767171903445,-34.35440154499655,1
SAN JOSÉ - JARDIN_001,SAN JOSÉ,NINGUNA,JARDIN,1,ARCO IRIS,-,MEDINA,961,,,,,LIBERTAD,4345-3492,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,MEDINA 961,-56.61968082364229,-34.634061029074765,1
SORIANO - HABILITADO_002,SORIANO,NINGUNA,HABILITADO,2,URUGUAYAN AMERICAN SCHOOL,D,18 DE JULIO,538,,,,,MERCEDES,453-23962,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,18 DE JULIO 538,-58.324272410045346,-33.399468688442205,1
SORIANO - HABILITADO_003,SORIANO,NINGUNA,HABILITADO,3,SAN MIGUEL,-,Gral. ARTIGAS,500,,,,,MERCEDES,453-22264,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,Gral. ARTIGAS 500,-57.61754919999494,-33.61047820001202,1
SORIANO - HABILITADO_006,SORIANO,NINGUNA,HABILITADO,6,SAN SALVADOR,D,CARLOS P. PUIG,1617,,,,,DOLORES,4534 37 81,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,CARLOS P. PUIG 1617,-58.21674268431183,-33.52968240162722,1
SORIANO - JARDIN_002,SORIANO,NINGUNA,JARDIN,2,SOL Y LUNA,-,PAYSANDU,862,,,,,MERCEDES,4532 95 69,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,PAYSANDU 862,-58.32037327982175,-33.40464413182422,1
SORIANO - ESPECIAL_001,SORIANO,NINGUNA,ESPECIAL,1,INST. SORIANO,-,SARANDI,482,,,,,MERCEDES,453-21474,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,SARANDI 482,-58.31996046533162,-33.39097684972392,1
SORIANO - ESPECIAL_002,SORIANO,NINGUNA,ESPECIAL,2,INST. DOLORES DE ATENCION INTEGRAL,-,Dr. LORENZO CARNELLI y RODO,1496,,,,,DOLORES,453-42665,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,Dr. LORENZO CARNELLI y RODO 1496,-58.22179557799648,-33.52959928136595,1
SORIANO - ESPECIAL_004,SORIANO,NINGUNA,ESPECIAL,4,INST. URUGUAY  DE ASISTENCIA INTEGRAL,-,PAYSANDU,457,ARTIGAS,298 (*),MINI,1561 (**),MERCEDES / DOLORES (**),453-24754 / 453-23397 (*) / 453-42709 (**),,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,PAYSANDU 457,-58.32373879555478,-33.404142624305464,1
SORIANO - ESPECIAL_005,SORIANO,NINGUNA,ESPECIAL,5,SER FELIZ,-,JOSE P. VARELA,1472,,,,,DOLORES,4534 2951,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,JOSE P. VARELA 1472,-58.32332929999824,-33.39523969997862,1
TACUAREMBÓ - HABILITADO_001,TACUAREMBÓ,NINGUNA,HABILITADO,1,JESUS SACRAMENTADO,D,SARANDI,256,,,,,TACUAREMBO,4633 1289,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,SARANDI 256,-55.97971124744949,-31.714588380786502,1
TACUAREMBÓ - HABILITADO_002,TACUAREMBÓ,NINGUNA,HABILITADO,2,SAN JAVIER,D,Av. REPUBLICA ARGENTINA,,,,,,TACUAREMBO,4632-2210,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,Av. REPUBLICA ARGENTINA,-56.00793173,-31.721843479999997,1
TACUAREMBÓ - HABILITADO_003,TACUAREMBÓ,NINGUNA,HABILITADO,3,MARIA AUXILIADORA COLEGIO COOPERATIVA,D,ZORRILLA DE SAN MARTIN,420,,,,,PASO DE LOS TOROS,4664-2079,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,ZORRILLA DE SAN MARTIN 420,-56.020348292693605,-31.713604291360067,1
TACUAREMBÓ - HABILITADO_004,TACUAREMBÓ,NINGUNA,HABILITADO,4,NORTHLAND SCHOOL,D,,,,,,,TACUAREMBO,4632-4760,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,-56.02724260000001,-31.710202750000008,1
TACUAREMBÓ - HABILITADO_005,TACUAREMBÓ,NINGUNA,HABILITADO,5,ENRIQUETA COMPTE Y RIQUE,D,18 DE JULIO,57,,,,,TACUAREMBO,4632 8655,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,18 DE JULIO 57,-55.97568316777873,-31.708742740732006,1
TACUAREMBÓ - HABILITADO_006,TACUAREMBÓ,NINGUNA,HABILITADO,6,REDWOOD SCHOOL,D,Av. ORIBE,418,,,,,TACUAREMBO,463-33492,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,Av. ORIBE 418,-55.96731522598216,-31.693371288180355,1
TACUAREMBÓ - HABILITADO_007,TACUAREMBÓ,NINGUNA,HABILITADO,7,JEAN PIAGET,D,25 DE MAYO,467,,,,,TACUAREMBÓ,4633 13 95,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,25 DE MAYO 467,-55.98803968789939,-31.71879071752789,1
TACUAREMBÓ - HABILITADO_008,TACUAREMBÓ,NINGUNA,HABILITADO,8,SANTA ISABEL,D,ADELAIDA PUYOL,3746/ 3878,,,,,PASO DE LOS TOROS,4664 6431,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,ADELAIDA PUYOL 3746/ 3878,-56.51211036713619,-32.80484297090943,1
TACUAREMBÓ - JARDIN_001,TACUAREMBÓ,NINGUNA,JARDIN,1,JEAN PIAGET,-,25 DE MAYO,333,,,,,,4632 41 19,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,25 DE MAYO 333,-55.984298868526196,-31.715373347238945,1
TACUAREMBÓ - JARDIN_002,TACUAREMBÓ,NINGUNA,JARDIN,2,PINOCHO,-,18 DE JULIO,216,,,,,TACUAREMBO,46341481,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,18 DE JULIO 216,-55.97981851372598,-31.712892446158342,1
TREINTA Y TRES - HABILITADO_002,TREINTA Y TRES,NINGUNA,HABILITADO,2,GLORIA ESTADEZ,M,AVELINO MIRANDA,1563,,,,,TREINTA Y TRES,44522529,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,AVELINO MIRANDA 1563,-54.38377529990453,-33.22857432613965,1
,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,-54.10354712,-32.19124905999999,1
,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,-54.10354712,-32.19124905999999,1
,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,-54.10354712,-32.19124905999999,1
,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,-54.10354712,-32.19124905999999,1
,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,-54.10354712,-32.19124905999999,1
,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,-54.10354712,-32.19124905999999,1
,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,-54.10354712,-32.19124905999999,1
