CÓDIGO,Departamento,Jurisdicción,Cat.,Nro.,NOMBRE,T,CALLE,Nº,CALLE2,Nº2,CALLE3,Nº3,BARRIO / LOCALIDAD,TELEFONO,COMENTARIO,CH,CA,JA,EA,CTR,JTR,ETR,Unnamed: 23,Ed. Especial,0,Unnamed: 26,0.1,Unnamed: 28,Ed. Especial.1,0.2,Unnamed: 31,0.3,direccion_completa,Latitud,Longitud,Intento
DURAZNO - HABILITADO_006,DURAZNO,NINGUNA,HABILITADO,6,CARLOS SCAFFO,D,BATLLE Y ORDOÑEZ,691,,,,,DURAZNO,4362 67 56,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,BATLLE Y ORDOÑEZ 691,-56.5212996986127,-33.38126811973578,1
FLORES - HABILITADO_001,FLORES,NINGUNA,HABILITADO,1,SAN JOSE,D,ALFREDO PUIG,391,,,,,TRINIDAD,4364 2464,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,ALFREDO PUIG 391,-56.235842378044715,-34.088302111670075,1
FLORES - HABILITADO_003,FLORES,NINGUNA,HABILITADO,3,BILINGÜE AMERICAN SCHOOL,D,ARTIGAS ,572,,,,,TRINIDAD,4364 5796,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,ARTIGAS  572,-55.6737716727802,-34.75936939082666,1
FLORES - HABILITADO_004,FLORES,NINGUNA,HABILITADO,4,GARDNER,D,FRANCISCO FONDAR,459,,,,,TRINIDAD,099 297 499,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,FRANCISCO FONDAR 459,-58.23108598066425,-33.52580505548933,1
FLORIDA - HABILITADO_001,FLORIDA,NINGUNA,HABILITADO,1,Ntra. Sra. DEL HUERTO,T,Gral. FLORES,3458,,,,,FLORIDA,4352 2004 - 4352 6771,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,Gral. FLORES 3458,-56.21119013212933,-34.09857526125617,1
FLORIDA - HABILITADO_005,FLORIDA,NINGUNA,HABILITADO,5,SAN JOSE,T,REPUBLICA DE PARAGUAY,,,,,,CASUPA,4311-2281,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,REPUBLICA DE PARAGUAY,-55.67029225,-34.10214708999999,1
FLORIDA - HABILITADO_006,FLORIDA,NINGUNA,HABILITADO,6,MIDLANDS COLLEGE,D,PUBLICA y CALLE 87,,,,,,FLORIDA,435-21510,ANEXO 4256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,PUBLICA y CALLE 87,-56.22926203613893,-34.09735704530305,1
FLORIDA - HABILITADO_008,FLORIDA,NINGUNA,HABILITADO,8,SANTA TERESA DE AVILA,D,FAUSTINO LOPEZ,777,,,,,FLORIDA,4351 29 91,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,FAUSTINO LOPEZ 777,-56.21997553346563,-34.09891453964911,1
FLORIDA - HABILITADO_009,FLORIDA,NINGUNA,HABILITADO,9,GREEN SCHOOL,,FAUSTINO LOPEZ,777,,,,,FLORIDA,,,,,,,,,,,,,,,,,,,,FAUSTINO LOPEZ 777,-56.21997553346563,-34.09891453964911,1
FLORIDA - JARDIN_001,FLORIDA,NINGUNA,JARDIN,1,CEN. DE ED. PREESCOLAR INTEGRAL,,RODO entre BATLLE Y ORDOÑEZ y GALLINAL,529,,,,,FLORIDA,4352 6092,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,RODO entre BATLLE Y ORDOÑEZ y GALLINAL 529,-56.21527580460425,-34.10128829703308,1
LAVALLEJA - HABILITADO_001,LAVALLEJA,NINGUNA,HABILITADO,1,COOP. Ntra. Sra. DEL VERDUN (CO.N.SE.VER.),T,JUAN ANTONIO LAVALLEJA,513,,,,,MINAS,444-27398,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,JUAN ANTONIO LAVALLEJA 513,-54.53607073478321,-33.4567030083982,1
LAVALLEJA - HABILITADO_002,LAVALLEJA,NINGUNA,HABILITADO,2,SAN JOSE,T,Av. ARTIGAS,1226,,,,,MINAS,444-22018,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,Av. ARTIGAS 1226,-57.81045120430343,-33.933422764487844,1
LAVALLEJA - HABILITADO_004,LAVALLEJA,NINGUNA,HABILITADO,4,MARIA AUXILIADORA,D,DUBRA,,,,,,BATLLE Y ORDOÑEZ,446-92099,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,DUBRA,-55.146480387992646,-33.47252831734122,1
LAVALLEJA - HABILITADO_005,LAVALLEJA,NINGUNA,HABILITADO,5,LA PRESENTACION,M,MARIA COYA,,,,,,JOSE PEDRO VARELA,445-59168,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,MARIA COYA,-54.53094794208943,-33.453307245382554,1
LAVALLEJA - HABILITADO_007,LAVALLEJA,NINGUNA,HABILITADO,7,INSTITUTO DE EDUCACION INTEGRAL,D,25 DE MAYO,664,,,,,MINAS,444-22140,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,25 DE MAYO 664,-57.8101260666912,-33.94153359010076,1
LAVALLEJA - HABILITADO_008,LAVALLEJA,NINGUNA,HABILITADO,8,BILINGÜE DE MINAS,D,DOMINGO PEREZ,580,,,,,MINAS,444-26080,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,DOMINGO PEREZ 580,-54.529835354538044,-33.454146234754695,1
LAVALLEJA - ESPECIAL_001,LAVALLEJA,NINGUNA,ESPECIAL,1,CENTRO DESPERTAR,D,TREINTA Y TRES,437,,,,,MINAS,44426709,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,TREINTA Y TRES 437,-55.46439121347488,-34.59732284237876,1
MALDONADO - HABILITADO_001,MALDONADO,NINGUNA,HABILITADO,1,HERMANAS CAPUCHINAS,T,Dr. EDYE,738,,,,,MALDONADO,42-223441,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,Dr. EDYE 738,-54.95717544013167,-34.90569071123306,1
MALDONADO - HABILITADO_002,MALDONADO,NINGUNA,HABILITADO,2,SAN FRANCISCO DE ASIS,D,SANABRIA y BUENOS AIRES,,,,,,PIRIAPOLIS,4432 12 60,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,SANABRIA y BUENOS AIRES,-54.80470670705499,-34.89924885573768,1
MALDONADO - HABILITADO_003,MALDONADO,NINGUNA,HABILITADO,3,Ntra. Sra. DEL ROSARIO,D,18 DE JULIO,770,,,,,SAN CARLOS,42-669194,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,18 DE JULIO 770,-54.95862853105241,-34.90961019193688,1
MALDONADO - HABILITADO_004,MALDONADO,NINGUNA,HABILITADO,4,VIRGEN DEL SANTANDER,D,25 DE MAYO,828,,,,,MALDONADO,442-21811,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,25 DE MAYO 828,-54.959157590260254,-34.9091251555966,1
MALDONADO - HABILITADO_008,MALDONADO,NINGUNA,HABILITADO,8,INSTITUTO URUGUAYO ARGENTINO (I.U.A.),D,LA FORET y PASCUAL GATTAS,-,,,,,PUNTA DEL ESTE,42-483233 / 42-487948,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,LA FORET y PASCUAL GATTAS -,-54.936733112127335,-34.94321248674626,1
MALDONADO - HABILITADO_014,MALDONADO,NINGUNA,HABILITADO,14,INSTITUTO DE EDUCACIÓN PAN DE AZÚCAR,D,LEONARDO OLIVERA,718,,,,,PAN DE AZUCAR,443-48303,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,LEONARDO OLIVERA 718,-54.95206996219834,-34.90419291678954,1
MALDONADO - HABILITADO_016,MALDONADO,NINGUNA,HABILITADO,16,JARDiN Y COLEGIO MALDONADO,D,Av. LAVALLEJA y18 DE JULIO,-,,,,,MALDONADO,42-22337,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,Av. LAVALLEJA y18 DE JULIO -,-54.95883402128665,-34.90461870812096,1
MALDONADO - HABILITADO_017,MALDONADO,NINGUNA,HABILITADO,17,INTERNATIONAL BILINGUAL SCHOOL (I.B.S.),T,ISLANDIA y LUXEMBURGO,-,,,,,MÓNACO,42-233893,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,ISLANDIA y LUXEMBURGO -,-54.953927978096765,-34.919799593645386,1
MALDONADO - HABILITADO_018,MALDONADO,NINGUNA,HABILITADO,18,PINARES DEL ESTE,D,LOS GLADIOLOS y LAS BEGONIAS,-,,,,,MALDONADO,442-27485,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,LOS GLADIOLOS y LAS BEGONIAS -,-54.97207004435446,-34.907414536688805,1
MALDONADO - HABILITADO_019,MALDONADO,NINGUNA,HABILITADO,19,INST. EDUCATIVO CAROLINO (I.E.C.),D,CURBELO,673,,,,,SAN CARLOS,42-663494,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,CURBELO 673,-54.9156004234919,-34.79426965422911,1
MALDONADO - HABILITADO_021,MALDONADO,NINGUNA,HABILITADO,21,JOAQUiN TORRES GARCIA,D,MONTECARLO y SORRENTO,,,,,,PIRIAPOLIS,443-26628,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,MONTECARLO y SORRENTO,-55.27210614330118,-34.855938487769095,1
MALDONADO - HABILITADO_022,MALDONADO,NINGUNA,HABILITADO,22,INSTITUTO SAN CARLOS,D,RINCON,981,,,,,SAN CARLOS,426-69036,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,RINCON 981,-54.955347046522206,-34.905740192141494,1
